Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Operations,Chrome 121.0.0.0,,,12-02-2024 08:12:46,12-02-2024 08:15:41,2m - 55.189s,PASSED
,,,,,,,
Test Cases/user/register,Chrome 121.0.0.0,,,12-02-2024 08:12:46,12-02-2024 08:13:09,23.308s,PASSED
encryptedText = auth.CryptoUtils.encrypt(password),Chrome 121.0.0.0,,,12-02-2024 08:12:46,12-02-2024 08:12:46,0.039s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 08:12:46,12-02-2024 08:12:47,1.371s,PASSED
"navigateToUrl(webURL + ""register"")",Chrome 121.0.0.0,,,12-02-2024 08:12:47,12-02-2024 08:12:50,2.483s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_usernameRegisterPage""), username)",Chrome 121.0.0.0,,,12-02-2024 08:12:50,12-02-2024 08:12:52,1.774s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/label_Email""))",Chrome 121.0.0.0,,,12-02-2024 08:12:52,12-02-2024 08:12:52,0.486s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_emailRegisterPage""), email)",Chrome 121.0.0.0,,,12-02-2024 08:12:52,12-02-2024 08:12:53,1.137s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Advantage Shopping/input_passwordRegisterPage""), encryptedText)",Chrome 121.0.0.0,,,12-02-2024 08:12:53,12-02-2024 08:12:54,0.496s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Advantage Shopping/input_confirm_passwordRegisterPage""), encryptedText)",Chrome 121.0.0.0,,,12-02-2024 08:12:54,12-02-2024 08:12:54,0.510s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_first_nameRegisterPage""), first_name)",Chrome 121.0.0.0,,,12-02-2024 08:12:54,12-02-2024 08:12:55,1.149s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_last_nameRegisterPage""), last_name)",Chrome 121.0.0.0,,,12-02-2024 08:12:55,12-02-2024 08:12:57,1.128s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_phone_numberRegisterPage""), phone_number)",Chrome 121.0.0.0,,,12-02-2024 08:12:57,12-02-2024 08:12:58,1.142s,PASSED
countryCode = 0,Chrome 121.0.0.0,,,12-02-2024 08:12:58,12-02-2024 08:12:58,0.001s,PASSED
switch (country),Chrome 121.0.0.0,,,12-02-2024 08:12:58,12-02-2024 08:12:58,0.005s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Advantage Shopping/select_AfganistanAlbaniaAlgeriaAmerican Sam_3cef8a""), ""object:"" + countryCode, true)",Chrome 121.0.0.0,,,12-02-2024 08:12:58,12-02-2024 08:13:00,2.667s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_cityRegisterPage""), city)",Chrome 121.0.0.0,,,12-02-2024 08:13:00,12-02-2024 08:13:01,0.710s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_addressRegisterPage""), address)",Chrome 121.0.0.0,,,12-02-2024 08:13:01,12-02-2024 08:13:02,1.141s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_state__province__regionRegisterPage""), province)",Chrome 121.0.0.0,,,12-02-2024 08:13:02,12-02-2024 08:13:03,1.131s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_postal_codeRegisterPage""), postal_code)",Chrome 121.0.0.0,,,12-02-2024 08:13:03,12-02-2024 08:13:05,1.114s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/input_i_agree""))",Chrome 121.0.0.0,,,12-02-2024 08:13:05,12-02-2024 08:13:05,0.468s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/button_REGISTER""))",Chrome 121.0.0.0,,,12-02-2024 08:13:05,12-02-2024 08:13:06,0.566s,PASSED
takeScreenshot(),Chrome 121.0.0.0,,,12-02-2024 08:13:06,12-02-2024 08:13:07,1.266s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 08:13:07,12-02-2024 08:13:07,0.094s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 08:13:09,12-02-2024 08:13:09,0.001s,PASSED
,,,,,,,
Test Cases/user/register,Chrome 121.0.0.0,,,12-02-2024 08:13:09,12-02-2024 08:13:32,22.587s,PASSED
encryptedText = auth.CryptoUtils.encrypt(password),Chrome 121.0.0.0,,,12-02-2024 08:13:09,12-02-2024 08:13:09,0.002s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 08:13:09,12-02-2024 08:13:10,0.552s,PASSED
"navigateToUrl(webURL + ""register"")",Chrome 121.0.0.0,,,12-02-2024 08:13:10,12-02-2024 08:13:12,2.434s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_usernameRegisterPage""), username)",Chrome 121.0.0.0,,,12-02-2024 08:13:12,12-02-2024 08:13:14,1.755s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/label_Email""))",Chrome 121.0.0.0,,,12-02-2024 08:13:14,12-02-2024 08:13:14,0.473s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_emailRegisterPage""), email)",Chrome 121.0.0.0,,,12-02-2024 08:13:14,12-02-2024 08:13:15,1.125s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Advantage Shopping/input_passwordRegisterPage""), encryptedText)",Chrome 121.0.0.0,,,12-02-2024 08:13:15,12-02-2024 08:13:16,0.497s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Advantage Shopping/input_confirm_passwordRegisterPage""), encryptedText)",Chrome 121.0.0.0,,,12-02-2024 08:13:16,12-02-2024 08:13:16,0.493s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_first_nameRegisterPage""), first_name)",Chrome 121.0.0.0,,,12-02-2024 08:13:16,12-02-2024 08:13:17,1.129s,PASSED
